patientID,ssn,dob
372712,848636965,11-02-1993
112789,639833976,05-04-2019
658509,907301551,08-10-1935
524854,481405180,09-07-1967
619917,988441586,03-08-1950
936701,152427859,11-10-1986
625999,397804587,08-02-1957
583489,720116356,20-06-1968
971763,729715405,27-09-1932
885655,898381872,02-08-1961
973972,134510978,26-02-2011
643070,314892077,15-05-1956
590933,589102305,20-10-1965
124501,546766518,20-09-1954
948870,954439876,24-02-2021
637626,579264422,04-11-1952
960346,744064301,22-03-2015
126768,854457215,05-05-1948
713489,660861366,23-05-1969
240243,887398671,11-05-1977
543866,412487887,04-06-1953
486692,870095802,31-03-1954
525185,101852193,14-11-1953
664420,615343470,29-08-1958
548073,371867324,07-03-1971
815235,811014722,19-05-1955
194298,482138701,27-10-1940
464124,570361053,22-11-2020
126722,559398352,13-03-2018
708628,905136197,30-11-1971
961653,714842355,13-09-1969
513339,719892878,21-11-1945
638242,824761022,20-09-1973
418942,879500121,27-02-2019
255698,725688834,26-07-1940
613837,296728015,27-05-1948
194894,387799944,18-08-1954
646544,925987837,18-06-2015
613962,859321003,12-07-1954
287248,718294482,11-04-1958
402924,906025439,25-05-1964
444036,488632262,15-03-1942
899269,337184245,04-03-1956
844253,509445660,08-04-1982
874083,704993721,09-09-1953
791321,943633366,15-08-1962
550307,727463911,01-05-1959
430813,891848163,28-01-1956
204872,875217455,05-11-1976
989283,760654079,17-02-2018
197122,220238258,18-09-1962
175312,670830299,09-06-1968
294380,139971890,09-04-1953
616876,505678575,16-03-1967
538754,985658332,21-09-1948
709291,168853934,17-11-1952
510946,428352053,22-05-1953
673213,413794064,22-06-2005
164703,114063086,19-11-2020
126884,734271185,31-01-1980
276824,435350535,23-12-1949
839527,883062407,03-04-2021
621215,963485091,13-08-2022
540162,769180442,28-08-1972
562362,286027741,02-03-1969
574748,468345221,21-05-1957
395381,684469105,10-12-2012
799493,615988478,25-06-1963
821995,429863986,31-03-2013
164705,702264354,02-01-1978
624393,146160942,14-02-1954
254346,624413894,28-02-1970
977900,747045685,11-07-1962
643936,534716842,13-02-1966
577230,788357612,29-07-1973
211818,702846147,28-01-1992
316670,683823332,30-04-1959
943890,199004464,01-12-1938
697022,840289476,11-06-1958
680304,349824269,12-04-1959
578239,920397963,03-01-1953
367422,445816529,14-11-1970
865294,164018510,05-11-1977
576958,338473188,31-08-1971
861725,128598028,21-02-1970
106195,232393894,11-04-1965
541245,890145821,10-09-2016
616779,574039909,04-11-2013
757848,194331516,25-01-1960
421967,846903437,19-08-2011
439074,705374168,27-07-1965
702593,477249311,02-05-1930
889980,412710684,15-12-2012
203308,316770093,16-05-1966
548450,924658316,31-05-1972
157041,760153215,21-10-1953
575445,670374959,26-04-1979
829829,425534243,11-11-1934
221007,368874243,15-02-2006
159183,330910368,14-08-1964
188767,494418268,11-11-2012
957559,446143337,28-05-1969
955654,863814163,23-02-1956
355381,424421374,21-10-1963
382843,480137063,29-01-1982
220717,965668541,27-08-1984
749864,252958027,18-05-1971
902343,183235184,28-04-1950
143722,199116454,09-04-1958
119339,712739393,01-10-1963
205202,677013591,17-06-1968
917738,146113272,07-11-1969
137043,573034414,22-02-1960
370687,277003365,17-12-1974
392356,600793946,11-02-1978
159874,293430579,21-08-1955
424514,305491124,19-10-1974
109719,419558370,28-03-1954
190825,764255354,01-02-1963
209633,710003138,06-06-1950
225949,958121414,01-11-2007
973335,672306846,27-02-1955
327180,964361049,11-12-1981
320725,344078396,18-10-1964
459976,171137806,01-04-1961
870853,318184453,29-09-1970
207565,711923811,09-06-1963
762957,944972499,18-01-1963
142698,985339176,15-02-1965
134702,222105717,12-04-1959
957534,633773580,24-11-1969
426600,136504121,12-06-1972
522875,317359397,07-01-1927
997065,365587879,08-11-1964
365961,239570284,01-08-1973
952986,335203224,18-01-1971
945949,545326725,15-06-1976
653042,118387514,28-11-2017
960643,433971142,07-01-1962
580140,327017869,13-12-2003
917895,184426620,25-09-1975
766585,650465908,27-04-1955
542831,232572168,26-06-1955
701514,818351574,26-08-2021
972235,979657868,23-03-1978
659458,248079009,27-12-1984
780800,561633614,28-02-1960
126851,717265241,18-06-1955
750676,115884915,29-03-2007
498548,618815319,17-09-2012
899383,681709659,12-06-1959
230827,830816477,19-11-2019
